user_id,month,category,leak_type,description,leak_amount,leak_percentage,evidence,severity
10,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,9495.51,50.91,50.9% of transactions were late-night,high
10,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,5287.31,32.5,32.5% of transactions were late-night,medium
10,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2284.02,12.43,18 small transactions,low
10,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,7875.82,42.86,42.9% of transactions were late-night,high
11,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3368.85,16.12,30 small transactions,low
11,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3666.93,20.48,31 small transactions,low
11,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4899.48,23.15,43 small transactions,low
11,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4428.47,18.29,41 small transactions,low
11,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4006.31,20.67,36 small transactions,low
11,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3354.77,19.84,28 small transactions,low
12,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5627.57,20.5,54 small transactions,medium
12,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5168.67,18.49,51 small transactions,medium
12,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5120.07,15.11,45 small transactions,medium
12,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7444.68,25.41,69 small transactions,medium
12,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4557.06,14.59,44 small transactions,low
12,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4767.82,18.93,39 small transactions,low
13,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4826.31,16.82,42 small transactions,low
13,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4182.32,15.05,42 small transactions,low
13,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6514.83,25.59,56 small transactions,medium
13,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4487.29,17.36,35 small transactions,low
13,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4856.85,17.96,41 small transactions,low
13,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5975.9,27.58,55 small transactions,medium
14,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4613.45,25.03,49 small transactions,medium
14,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4736.86,33.05,51 small transactions,medium
14,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,9216.1,59.15,92 small transactions,high
14,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5014.76,30.37,57 small transactions,medium
14,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,8253.47,41.18,94 small transactions,high
14,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4748.89,29.53,44 small transactions,medium
15,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,21222.89,41.82,41.8% of transactions were late-night,high
16,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7893.66,31.06,77 small transactions,medium
16,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6719.87,35.61,63 small transactions,medium
16,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,7170.11,38.0,38.0% of transactions were late-night,medium
16,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,8643.12,39.87,88 small transactions,medium
16,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,6988.0,32.23,32.2% of transactions were late-night,medium
16,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7507.79,33.23,77 small transactions,medium
16,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,7393.75,32.73,32.7% of transactions were late-night,medium
16,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6960.53,31.14,65 small transactions,medium
16,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,7822.5,35.0,35.0% of transactions were late-night,medium
16,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,8916.08,43.1,85 small transactions,high
16,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,8382.02,40.52,40.5% of transactions were late-night,high
17,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3557.02,12.88,35 small transactions,low
17,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3693.79,16.16,30 small transactions,low
17,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4811.3,15.07,49 small transactions,low
17,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5466.89,19.07,44 small transactions,medium
17,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,7683.6,30.99,31.0% of transactions were late-night,medium
18,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,17953.63,45.83,45.8% of transactions were late-night,high
18,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,16065.64,42.59,42.6% of transactions were late-night,high
18,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,15619.32,42.55,42.6% of transactions were late-night,high
18,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,10725.25,37.88,37.9% of transactions were late-night,high
18,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,10598.57,41.3,41.3% of transactions were late-night,high
19,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,15998.27,35.71,35.7% of transactions were late-night,high
19,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,17292.61,34.85,34.8% of transactions were late-night,high
19,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,18300.6,47.92,47.9% of transactions were late-night,high
19,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,18573.28,51.02,51.0% of transactions were late-night,high
22,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4359.85,45.32,46 small transactions,high
22,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3447.11,43.42,38 small transactions,high
22,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4731.2,45.64,49 small transactions,high
22,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4150.6,54.46,47 small transactions,high
22,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5128.06,43.39,54 small transactions,high
22,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3570.99,47.66,44 small transactions,high
23,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5194.58,17.23,47 small transactions,medium
23,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2740.8,9.72,23 small transactions,low
23,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6722.22,28.86,61 small transactions,medium
23,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3863.45,18.13,39 small transactions,low
23,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5479.96,21.09,48 small transactions,medium
23,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4998.38,25.07,45 small transactions,medium
24,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3300.81,10.37,27 small transactions,low
25,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4730.69,22.47,57 small transactions,low
25,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4325.91,26.71,39 small transactions,medium
25,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,7011.43,43.28,43.3% of transactions were late-night,high
25,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3980.17,20.34,37 small transactions,low
25,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,9937.05,50.77,50.8% of transactions were late-night,high
25,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3333.61,20.75,35 small transactions,low
25,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,6374.54,39.68,39.7% of transactions were late-night,medium
25,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3754.78,15.85,34 small transactions,low
25,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,7520.53,31.75,31.7% of transactions were late-night,medium
25,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4239.09,24.12,42 small transactions,low
25,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,6978.25,39.71,39.7% of transactions were late-night,medium
26,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7472.98,42.42,87 small transactions,high
26,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7871.85,50.06,83 small transactions,high
26,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,9381.59,45.53,108 small transactions,high
26,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,8825.69,45.67,95 small transactions,high
26,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,9038.55,45.39,106 small transactions,high
26,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7851.38,45.48,93 small transactions,high
27,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5268.3,34.09,52 small transactions,medium
27,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4645.7,37.0,47 small transactions,medium
27,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4785.0,29.61,50 small transactions,medium
27,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5911.12,41.77,66 small transactions,high
27,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4582.51,31.32,58 small transactions,medium
27,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4699.76,30.78,46 small transactions,medium
28,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6617.5,27.21,69 small transactions,medium
28,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4920.2,22.93,46 small transactions,low
28,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5043.56,21.38,45 small transactions,medium
28,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4651.35,18.91,44 small transactions,low
28,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5169.39,19.49,54 small transactions,medium
28,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4133.17,18.78,40 small transactions,low
29,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4161.9,16.19,40 small transactions,low
29,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5102.98,29.65,52 small transactions,medium
29,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,5391.91,31.33,31.3% of transactions were late-night,medium
29,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5889.56,29.52,66 small transactions,medium
29,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6044.9,25.39,58 small transactions,medium
29,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4347.93,22.87,45 small transactions,low
29,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4703.2,23.72,46 small transactions,low
31,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3396.32,12.31,32 small transactions,low
31,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5297.46,19.98,52 small transactions,medium
31,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,10729.44,40.48,40.5% of transactions were late-night,high
31,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5022.36,19.91,54 small transactions,medium
31,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,10317.31,40.91,40.9% of transactions were late-night,high
31,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4077.48,19.42,50 small transactions,low
31,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,7567.04,36.05,36.0% of transactions were late-night,medium
31,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5316.18,22.24,45 small transactions,medium
31,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,11636.2,48.68,48.7% of transactions were late-night,high
31,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3776.98,18.82,42 small transactions,low
31,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,7621.12,37.97,38.0% of transactions were late-night,medium
32,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4159.82,10.43,32 small transactions,low
32,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3716.49,11.58,32 small transactions,low
33,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2903.32,9.25,25 small transactions,low
33,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5077.57,21.36,44 small transactions,medium
33,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,11712.14,49.28,49.3% of transactions were late-night,high
33,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3295.78,9.81,26 small transactions,low
33,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,17036.65,50.68,50.7% of transactions were late-night,high
33,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,13721.49,46.67,46.7% of transactions were late-night,high
33,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,16565.76,50.75,50.7% of transactions were late-night,high
33,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2864.05,10.61,22 small transactions,low
33,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,12623.35,46.77,46.8% of transactions were late-night,high
35,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5529.61,45.52,65 small transactions,high
35,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4002.75,40.18,47 small transactions,high
35,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3814.64,26.45,37 small transactions,medium
35,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5433.34,49.34,62 small transactions,high
35,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5316.07,39.73,55 small transactions,medium
35,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5466.62,57.89,59 small transactions,high
36,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3611.95,12.35,35 small transactions,low
36,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4961.9,17.0,51 small transactions,low
36,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7810.78,32.8,75 small transactions,medium
36,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5888.5,23.18,48 small transactions,medium
36,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7538.21,27.42,67 small transactions,medium
36,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7357.04,28.3,69 small transactions,medium
37,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6412.92,16.29,53 small transactions,medium
37,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4497.38,11.98,39 small transactions,low
37,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,8457.79,20.56,74 small transactions,medium
37,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7942.95,19.04,73 small transactions,medium
37,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7262.94,17.5,59 small transactions,medium
37,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6418.68,17.5,58 small transactions,medium
38,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7105.95,56.76,82 small transactions,high
38,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6311.82,54.45,84 small transactions,high
38,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7869.04,45.93,94 small transactions,high
38,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7386.63,42.52,82 small transactions,high
38,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,5572.79,32.08,32.1% of transactions were late-night,medium
38,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6977.83,42.37,81 small transactions,high
38,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,5328.38,32.35,32.4% of transactions were late-night,medium
38,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5893.27,53.73,72 small transactions,high
39,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3886.52,38.32,42 small transactions,medium
39,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3811.52,43.08,38 small transactions,high
39,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3561.02,31.34,42 small transactions,medium
39,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3891.87,36.36,40 small transactions,medium
39,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,3508.93,32.79,32.8% of transactions were late-night,medium
39,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3412.08,28.94,35 small transactions,medium
39,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3451.18,25.97,36 small transactions,medium
40,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5020.36,21.81,51 small transactions,medium
40,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4810.04,27.6,45 small transactions,medium
40,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4834.3,23.17,38 small transactions,low
40,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5894.75,28.92,60 small transactions,medium
40,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4599.26,23.9,46 small transactions,low
40,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3812.9,20.2,36 small transactions,low
42,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4266.12,17.4,41 small transactions,low
42,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3848.1,18.76,36 small transactions,low
42,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4579.99,19.36,37 small transactions,low
42,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,7186.3,30.38,30.4% of transactions were late-night,medium
42,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3002.44,12.9,27 small transactions,low
42,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4462.52,19.77,36 small transactions,low
42,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3721.63,16.43,35 small transactions,low
43,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,33169.15,43.48,43.5% of transactions were late-night,high
43,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,23609.75,38.55,38.6% of transactions were late-night,high
43,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,22533.82,33.33,33.3% of transactions were late-night,high
43,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,30155.17,47.06,47.1% of transactions were late-night,high
44,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4317.57,15.97,42 small transactions,low
44,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4401.69,19.11,43 small transactions,low
44,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,9950.56,43.21,43.2% of transactions were late-night,high
44,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3577.09,11.96,37 small transactions,low
44,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,11303.33,37.78,37.8% of transactions were late-night,high
44,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4425.79,16.25,44 small transactions,low
44,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,9817.98,36.05,36.0% of transactions were late-night,medium
44,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5842.58,21.39,55 small transactions,medium
44,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,10418.29,38.14,38.1% of transactions were late-night,high
44,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4265.6,18.68,38 small transactions,low
44,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,7914.82,34.67,34.7% of transactions were late-night,medium
45,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3923.86,27.28,43 small transactions,medium
45,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3536.94,25.28,39 small transactions,medium
45,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4714.95,32.29,53 small transactions,medium
45,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4971.89,32.43,46 small transactions,medium
45,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4146.13,26.63,43 small transactions,medium
45,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4307.55,37.01,46 small transactions,medium
46,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2863.89,13.59,24 small transactions,low
46,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2745.29,16.09,24 small transactions,low
46,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3226.41,15.98,30 small transactions,low
46,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3360.18,15.08,29 small transactions,low
46,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2954.0,16.6,25 small transactions,low
46,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3384.73,18.97,31 small transactions,low
47,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7335.59,28.42,61 small transactions,medium
47,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6444.74,27.63,60 small transactions,medium
47,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5569.74,23.88,56 small transactions,medium
47,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4147.16,18.21,45 small transactions,low
47,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6577.41,23.74,58 small transactions,medium
47,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5809.85,23.63,58 small transactions,medium
48,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6300.15,18.8,54 small transactions,medium
48,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2942.22,6.92,30 small transactions,low
48,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4461.87,11.32,38 small transactions,low
48,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5362.0,15.53,43 small transactions,medium
